ProjectID,BuildingID,BedroomSize,MaxAllowableIncome,TotalUnits,MedianInitialLegalRent,HighInitialLegalRent,LowInitialLegalRent,MedianActualRent,HighActualRent,LowActualRent
50942,964992,1-BR,71%-80%,1,"1,254","1,254","1,254","1,254","1,254","1,254"
50942,964992,2-BR,71%-80%,1,"1,511","1,511","1,511","1,511","1,511","1,511"
50942,964992,3-BR,71%-80%,1,"1,740","1,740","1,740","1,740","1,740","1,740"
50942,964992,STUDIO,71%-80%,1,996,996,996,996,996,996
50959,633908,1-BR,71%-80%,2,,,,"1,125","1,150","1,100"
50959,633908,STUDIO,71%-80%,2,,,,"1,100","1,100","1,100"
51056,211091,1-BR,71%-80%,2,,,,,,
51056,211091,3-BR,71%-80%,1,,,,,,
51123,967799,1-BR,71%-80%,3,,,,"1,208","1,208","1,208"
51123,967799,2-BR,71%-80%,12,,,,"1,458","1,458","1,458"
51123,967799,STUDIO,71%-80%,10,,,,790,957,790
51260,811255,3-BR,71%-80%,11,"1,825","1,825","1,825","1,825","1,825","1,825"
51260,811255,5-BR,71%-80%,2,"2,350","2,350","2,350","2,350","2,350","2,350"
51260,811254,2-BR,71%-80%,13,"1,658","1,658","1,658","1,658","1,658","1,658"
51260,811254,3-BR,71%-80%,18,"1,825","1,825","1,825","1,825","1,825","1,825"
51260,811254,4-BR,71%-80%,5,"2,100","2,100","2,100","2,100","2,100","2,100"
51260,811254,5-BR,71%-80%,7,"2,350","2,350","2,350","2,350","2,350","2,350"
51260,811250,3-BR,71%-80%,29,"1,825","2,350","1,658","1,825","2,350","1,658"
51260,811250,4-BR,71%-80%,1,"2,100","2,100","2,100","2,100","2,100","2,100"
51260,811256,3-BR,71%-80%,33,"1,825","1,825","1,825","1,825","1,825","1,825"
51260,811258,2-BR,71%-80%,94,"1,658","1,658","1,658","1,658","1,658","1,658"
51260,811258,3-BR,71%-80%,70,"1,825","1,825","1,658","1,825","1,825","1,658"
51260,811252,3-BR,71%-80%,14,"1,825","1,825","1,825","1,825","1,825","1,825"
51260,811252,4-BR,71%-80%,6,"2,100","2,100","2,100","2,100","2,100","2,100"
51260,811252,5-BR,71%-80%,7,"2,350","2,350","2,350","2,350","2,350","2,350"
51260,811858,1-BR,71%-80%,53,"1,400","1,400","1,400","1,400","1,400","1,400"
51260,811858,2-BR,71%-80%,70,"1,658","1,658","1,658","1,658","1,658","1,658"
49103,59514,2-BR,Other,1,,,,,,
51260,811858,STUDIO,71%-80%,24,"1,150","1,150","1,150","1,150","1,150","1,150"
51260,811253,1-BR,71%-80%,93,"1,400","1,400","1,400","1,400","1,400","1,400"
51260,811253,2-BR,71%-80%,68,"1,658","1,658","1,658","1,658","1,658","1,658"
51260,811257,3-BR,71%-80%,26,"1,825","1,825","1,825","1,825","1,825","1,825"
51260,811251,2-BR,71%-80%,13,"1,658","1,658","1,584","1,658","1,658","1,584"
51260,811251,3-BR,71%-80%,20,"1,825","1,825","1,825","1,825","1,825","1,825"
51260,811859,1-BR,71%-80%,50,"1,400","1,400","1,400","1,400","1,400","1,400"
51260,811859,2-BR,71%-80%,51,"1,658","1,658","1,658","1,658","1,658","1,336"
51260,811859,STUDIO,71%-80%,57,"1,150","1,150","1,150","1,150","1,150","1,150"
51300,631575,1-BR,71%-80%,38,,,,,,
51300,631575,2-BR,71%-80%,34,,,,,,
51300,631575,3-BR,71%-80%,7,,,,,,
51300,811186,1-BR,71%-80%,36,,,,,,
51300,811186,2-BR,71%-80%,40,,,,,,
51300,811186,3-BR,71%-80%,3,,,,,,
51378,381909,1-BR,71%-80%,3,,,,"1,236","1,236","1,236"
51617,25490,1-BR,71%-80%,27,,,,888,"1,075",779
51617,25490,2-BR,71%-80%,3,,,,"1,166","1,172","1,074"
51617,805099,1-BR,71%-80%,24,,,,897,962,855
51617,805099,2-BR,71%-80%,4,,,,"1,148.5","1,276","1,097"
51617,805099,3-BR,71%-80%,3,,,,"1,330","1,396","1,330"
51680,714354,1-BR,71%-80%,5,"1,190","1,190","1,190","1,190","1,190","1,190"
51680,714354,2-BR,71%-80%,1,"1,440","1,440","1,440","1,440","1,440","1,440"
51680,714354,3-BR,71%-80%,1,"1,664","1,664","1,664","1,664","1,664","1,664"
51719,878727,1-BR,71%-80%,7,"1,295","1,295","1,295","1,254","1,254","1,254"
51719,878727,2-BR,71%-80%,10,"1,553","1,553","1,553","1,511","1,511","1,511"
51868,977499,1-BR,71%-80%,25,"1,554","1,554","1,554","1,375","1,375","1,375"
51868,977499,2-BR,71%-80%,22,"1,874","1,874","1,874","1,660","1,660","1,660"
51868,977499,3-BR,71%-80%,12,"2,158","2,158","2,158","1,910","1,910","1,910"
